Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
"Redmi 8 (Onyx Black, 64 GB)",4 GB,64 GB,674638,50064,4.4,10999,9999
"Realme 5i (Forest Green, 64 GB)",4 GB,64 GB,243106,16497,4.5,10999,10999
"Realme 5i (Aqua Blue, 64 GB)",4 GB,64 GB,243106,16497,4.5,10999,10999
"Redmi 8 (Sapphire Blue, 64 GB)",4 GB,32 GB,674638,50064,4.4,10999,9999
"POCO X2 (Matrix Purple, 128 GB)",6 GB,64 GB,133486,14732,4.5,19999,18499
"POCO X2 (Atlantis Blue, 64 GB)",6 GB,64 GB,133486,14732,4.5,18999,17499
"Realme 6 (Comet Blue, 64 GB)",6 GB,64 GB,30619,3002,4.4,17999,15999
"POCO X2 (Atlantis Blue, 128 GB)",6 GB,64 GB,133486,14732,4.5,19999,18499
"Realme C11 (Rich Green, 32 GB)",2 GB,128 GB,17476,1209,4.6,8999,7499
"Realme C11 (Rich Grey, 32 GB)",2 GB,32 GB,17476,1209,4.6,8999,7499
"Realme Narzo 10A (So White, 32 GB)",3 GB,32 GB,42968,2926,4.6,9999,8999
"Realme Narzo 10A (So Blue, 64 GB)",4 GB,64 GB,17313,1129,4.6,10999,9999
"Realme Narzo 10A (So White, 64 GB)",4 GB,32 GB,17313,1129,4.6,10999,9999
"Realme Narzo 10A (So Blue, 32 GB)",3 GB,64 GB,42968,2926,4.6,9999,8999
"POCO X2 (Matrix Purple, 64 GB)",6 GB,64 GB,133486,14732,4.5,18999,17499
"Realme 6 (Comet White, 64 GB)",6 GB,64 GB,30619,3002,4.4,17999,15999
"Apple iPhone XR (Black, 64 GB)",,32 GB,11572,975,4.6,52500,46999
"Infinix S5 Pro (Violet, 64 GB)",4 GB,64 GB,12764,1149,4.5,12999,11499
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB,64 GB,27992,2199,4.4,9999,9499
"Realme 6 Pro (Lightning Blue, 64 GB)",6 GB,16 GB,27363,2887,4.5,17999,17999
"Realme 6 Pro (Lightning Orange, 64 GB)",6 GB,64 GB,27363,2887,4.5,17999,17999
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4 GB,64 GB,17040,1232,4.5,12999,10499
"Infinix Hot 9 Pro (Violet, 64 GB)",4 GB,64 GB,17040,1232,4.5,12999,10499
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB,64 GB,27992,2199,4.4,9999,9499
"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4 GB,64 GB,27992,2199,4.4,9999,9499
"Apple iPhone SE (White, 64 GB)",,64 GB,12954,1298,4.5,42500,40999
"OPPO A9 2020 (Space Purple, 128 GB)",4 GB,64 GB,31725,2948,4.3,18990,13990
"OPPO A9 2020 (Marine Green, 128 GB)",4 GB,128 GB,31725,2948,4.3,18990,13990
"Realme 6 Pro (Lightning Blue, 128 GB)",6 GB,128 GB,27363,2887,4.5,18999,18999
"Apple iPhone SE (Black, 64 GB)",,32 GB,12954,1298,4.5,42500,40999
"Apple iPhone XR ((PRODUCT)RED, 64 GB)",,64 GB,11572,975,4.6,52500,46999
"Redmi Note 8 Pro (Electric Blue, 128 GB)",6 GB,64 GB,55815,4614,4.4,17999,16999
"Apple iPhone SE (Red, 64 GB)",,128 GB,12954,1298,4.5,42500,40999
"Vivo Y15 (Burgundy Red, 64 GB)",4 GB,64 GB,20969,1505,4.4,15990,12990
"Vivo Y15 (Aqua Blue, 64 GB)",4 GB,64 GB,20969,1505,4.4,15990,12990
"Redmi 8A Dual (Sea Blue, 64 GB)",3 GB,64 GB,974,71,4.3,9750,9750
"Redmi 8A Dual (Sea Blue, 32 GB)",2 GB,64 GB,1246,81,4.2,8320,8320
"Redmi 8A Dual (Sky White, 32 GB)",2 GB,64 GB,1246,81,4.2,8499,8249
"Vivo Y12 (Aqua Blue, 64 GB)",3 GB,64 GB,13266,981,4.4,13990,10990
"Vivo Y12 (Burgundy Red, 64 GB)",3 GB,16 GB,13266,981,4.4,13990,10990
"OPPO A5s (Blue, 32 GB)",2 GB,32 GB,5815,438,4.3,12990,8990
"OPPO A5s (Black, 64 GB)",4 GB,32 GB,5365,394,4.3,15990,10990
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB,64 GB,55815,4614,4.4,17999,16999
"Apple iPhone SE (Black, 128 GB)",,64 GB,12954,1298,4.5,47800,45999
"Realme 6 Pro (Lightning Orange, 128 GB)",6 GB,64 GB,27363,2887,4.5,18999,18999
"OPPO A31 (Mystery Black, 64 GB)",4 GB,32 GB,9454,665,4.3,12990,12490
"OPPO A31 (Fantasy White, 64 GB)",4 GB,64 GB,9454,665,4.3,12990,12490
"Apple iPhone XR (Blue, 64 GB)",,128 GB,11572,975,4.6,52500,46999
"Apple iPhone XR (Blue, 64 GB)",,64 GB,11572,975,4.6,52500,46999
"I Kall K6 (Red, 32 GB)",4 GB,64 GB,615,57,3,7299,6699
"Vivo Y11 (Agate Red, 32 GB)",3 GB,64 GB,4744,268,4.4,9990,9990
"Vivo Y11 (Mineral Blue, 32 GB)",3 GB,128 GB,4744,268,4.4,9990,9990
"Vivo U10 (Electric Blue, 32 GB)",3 GB,128 GB,34333,2395,4.4,10990,10990
"I Kall K1000 (Blue, 64 GB)",4 GB,32 GB,840,111,2.9,7699,7699
"Vivo U10 (Thunder Black, 32 GB)",3 GB,64 GB,34333,2395,4.4,10990,10990
"POCO X2 (Atlantis Blue, 256 GB)",8 GB,64 GB,42062,4824,4.5,22999,21499
"Redmi Note 8 Pro (Shadow Black, 128 GB)",6 GB,128 GB,55815,4614,4.4,17999,16999
"Realme 6 (Comet White, 128 GB)",6 GB,64 GB,30620,3002,4.4,16999,16999
"OPPO A9 2020 (Space Purple, 128 GB)",8 GB,64 GB,11436,977,4.3,21990,15990
"I Kall K220 (Blue, 16 GB)",2 GB,64 GB,58,3,3.1,5699,5499
"OPPO A9 2020 (Marine Green, 128 GB)",8 GB,64 GB,11436,977,4.3,21990,15990
"Infinix Smart 4 Plus (Violet, 32 GB)",3 GB,64 GB,53,5,4.2,9999,7999
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",3 GB,64 GB,53,5,4.2,9999,7999
"I Kall K400 (Blue, 64 GB)",4 GB,16 GB,512,47,2.8,7299,7299
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",3 GB,32 GB,53,5,4.2,9999,7999
"OPPO A12 (Black, 32 GB)",3 GB,32 GB,10388,761,4.3,10990,9990
"OPPO A12 (Blue, 64 GB)",4 GB,64 GB,666,32,4.4,11990,11490
"OPPO A12 (Blue, 32 GB)",3 GB,64 GB,10388,761,4.3,10990,9990
"OPPO A12 (Black, 64 GB)",4 GB,64 GB,666,32,4.4,11990,11490
"OPPO A5s (Green, 64 GB)",4 GB,32 GB,5365,394,4.3,15990,10990
"OPPO A5s (Gold, 64 GB)",4 GB,64 GB,5365,394,4.3,15990,10990
"Realme Narzo 10 (That Green, 128 GB)",4 GB,128 GB,74661,5759,4.5,12999,11999
"Vivo Z1x (Fusion Blue, 64 GB)",6 GB,128 GB,146650,15652,4.4,19990,16990
"I Kall K6 (Red, 32 GB)",4 GB,32 GB,615,57,3,7299,6699
"Vivo Z1x (Phantom Purple, 64 GB)",6 GB,128 GB,146650,15652,4.4,19990,16990
"Vivo Z1x (Fusion Blue, 128 GB)",8 GB,32 GB,19380,2042,4.4,24990,18990
Nokia 105 SS,4 GB,64 GB,75730,7229,4.3,1299,1299
"Apple iPhone 7 Plus (Black, 32 GB)",,64 GB,27442,2853,4.5,37900,34999
"Realme 6 (Comet White, 128 GB)",8 GB,128 GB,23466,2363,4.4,17999,17999
"I Kall K1000 (Blue, 64 GB)",4 GB,64 GB,840,111,2.9,7699,7699
"Tecno Spark Power 2 (Misty Grey, 64 GB)",4 GB,4 GB,9603,1157,4.4,11999,9999
"Realme Narzo 10 (That White, 128 GB)",4 GB,32 GB,74661,5759,4.5,12999,11999
"Realme Narzo 10 (That Blue, 128 GB)",4 GB,128 GB,74661,5759,4.5,12999,11999
"I Kall K220 (Blue, 16 GB)",2 GB,16 GB,58,3,3.1,5699,5499
"OPPO F15 (Unicorn White, 128 GB)",8 GB,64 GB,10277,936,4.4,22990,18990
"OPPO F15 (Blazing Blue, 128 GB)",8 GB,128 GB,10277,936,4.4,22990,18990
"Redmi Note 8 Pro (Shadow Black, 128 GB)",8 GB,128 GB,7137,621,4.4,19999,18999
"Vivo Y91i (Fusion Black, 32 GB)",2 GB,128 GB,21196,1445,4.3,9990,7990
"Vivo Y91i (Ocean Blue, 32 GB)",2 GB,128 GB,21196,1445,4.3,9990,7990
"I Kall K400 (Blue, 64 GB)",4 GB,64 GB,512,47,2.8,7299,7299
"Vivo S1 Pro (Mystic Black, 128 GB)",8 GB,128 GB,11571,891,4.4,20990,19990
"Tecno Camon 15 (Fascinating Purple, 64 GB)",4 GB,32 GB,2219,238,4.2,12499,11499
"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4 GB,32 GB,2219,238,4.2,12499,11499
"Vivo Y30 (Emerald Black, 128 GB)",4 GB,32 GB,604,44,4.3,18990,14990
"Vivo Y30 (Dazzle Blue, 128 GB)",4 GB,128 GB,604,44,4.3,18990,14990
"Apple iPhone XR (White, 128 GB)",,64 GB,11572,975,4.6,57800,52999
"Realme C3 (Blazing Red, 32 GB)",3 GB,32 GB,67430,5102,4.5,8999,8999
"Realme C3 (Frozen Blue, 32 GB)",3 GB,32 GB,67430,5102,4.5,8999,8999
"Realme C3 (Frozen Blue, 64 GB)",4 GB,64 GB,117862,8088,4.5,9999,9999
"I Kall K6 (Red, 32 GB)",4 GB,32 GB,615,57,3,7299,6699
"Realme C2 (Diamond Blue, 32 GB)",2 GB,32 GB,805006,66292,4.4,7999,6999
"Realme C2 (Diamond Black, 32 GB)",2 GB,32 GB,805006,66292,4.4,7999,6999
"Realme C2 (Diamond Black, 32 GB)",3 GB,32 GB,133935,10009,4.4,8999,7499
"I Kall K1000 (Blue, 64 GB)",4 GB,64 GB,840,111,2.9,7699,7699
"Infinix S5 Pro (Forest Green, 64 GB)",4 GB,64 GB,12764,1149,4.5,12999,11499
"Realme C2 (Diamond Sapphire, 32 GB)",3 GB,32 GB,133935,10009,4.4,8999,7499
"Realme C2 (Diamond Ruby, 32 GB)",3 GB,32 GB,133935,10009,4.4,8999,7499
"I Kall K220 (Blue, 16 GB)",2 GB,16 GB,58,3,3.1,5699,5499
"Realme C2 (Diamond Blue, 32 GB)",3 GB,32 GB,133935,10009,4.4,8999,7499
"Infinix S5 Pro (Sea Blue, 64 GB)",4 GB,64 GB,12764,1149,4.5,12999,11499
"Realme 6 (Comet Blue, 64 GB)",4 GB,64 GB,59665,6337,4.4,14999,14999
"I Kall K400 (Blue, 64 GB)",4 GB,64 GB,512,47,2.8,7299,7299
"Realme 6 (Comet White, 64 GB)",4 GB,64 GB,59665,6337,4.4,14999,14999
"Redmi 8A Dual (Midnight Grey, 32 GB)",3 GB,32 GB,974,71,4.3,7999,7790
"Realme 6 Pro (Lightning Orange, 128 GB)",6 GB,128 GB,27365,2887,4.5,18999,18999
Lava 34 Plus,32 GB,32 GB,361,34,4.1,1699,1699
"Realme 6 (Comet Blue, 128 GB)",6 GB,128 GB,30622,3002,4.4,16999,16999
"Realme 6 Pro (Lightning Orange, 128 GB)",8 GB,128 GB,14361,1671,4.4,19999,19999
I Kall K14 New,32 GB,64 GB,7229,822,3.4,609,609
"Apple iPhone XR (White, 64 GB)",,64 GB,11572,975,4.6,52500,46999
"POCO C3 (Arctic Blue, 64 GB)",4 GB,64 GB,131468,8150,4.3,10999,8499
"POCO C3 (Matte Black, 64 GB)",4 GB,64 GB,131468,8150,4.3,10999,8499
"realme C15 (Power Blue, 64 GB)",4 GB,64 GB,104902,6473,4.4,12999,10999
"realme C15 Qualcomm Edition (Power Blue, 64 GB)",4 GB,64 GB,44802,2513,4.4,12999,10999
"realme C15 Qualcomm Edition (Power Silver, 64 GB)",4 GB,64 GB,44802,2513,4.4,12999,10999
"POCO C3 (Arctic Blue, 32 GB)",3 GB,32 GB,187773,13231,4.3,9999,7499
"realme C12 (Power Blue, 32 GB)",3 GB,32 GB,237127,14622,4.4,10999,8999
"realme C12 (Power Silver, 32 GB)",3 GB,32 GB,237127,14622,4.4,10999,8999
"realme C15 (Power Silver, 64 GB)",4 GB,64 GB,104902,6473,4.4,12999,10999
"realme C15 (Power Silver, 32 GB)",3 GB,32 GB,41681,3092,4.3,11999,9999
"POCO X3 (Cobalt Blue, 128 GB)",6 GB,128 GB,136297,13720,4.4,20999,17999
"POCO M3 (Cool Blue, 64 GB)",6 GB,64 GB,58291,4767,4.3,12999,10999
"realme C12 (Power Silver, 64 GB)",4 GB,64 GB,6472,342,4.4,10999,9999
"realme C12 (Power Blue, 64 GB)",4 GB,64 GB,6472,342,4.4,10999,9999
"POCO M3 (Power Black, 128 GB)",6 GB,128 GB,58291,4767,4.3,14999,11999
"realme C15 (Power Blue, 32 GB)",3 GB,32 GB,41681,3092,4.3,11999,9999
"Redmi 9i (Nature Green, 64 GB)",4 GB,64 GB,224444,12758,4.3,9999,7999
"realme C15 Qualcomm Edition (Power Silver, 32 GB)",3 GB,32 GB,2206,134,4.3,11999,9999
"realme C15 Qualcomm Edition (Power Blue, 32 GB)",3 GB,32 GB,2206,134,4.3,11999,9999
"Redmi 9i (Midnight Black, 64 GB)",4 GB,64 GB,224444,12758,4.3,9999,7999
"POCO M3 (Cool Blue, 128 GB)",6 GB,128 GB,58291,4767,4.3,14999,11999
"realme Narzo 30A (Laser Blue, 64 GB)",4 GB,64 GB,8453,479,4.5,10999,9999
"realme Narzo 30A (Laser Black, 32 GB)",3 GB,32 GB,5384,261,4.6,9999,8999
"realme Narzo 30A (Laser Blue, 32 GB)",3 GB,32 GB,5384,261,4.6,9999,8999
"POCO M3 (Yellow, 64 GB)",6 GB,64 GB,57727,4707,4.3,12999,10999
"Redmi 9 Power (Blazing Blue, 64 GB)",4 GB,64 GB,3767,298,4.3,13999,10999
"realme Narzo 30A (Laser Black, 64 GB)",4 GB,64 GB,8243,468,4.5,10999,9999
"Redmi 9 Prime (Mint Green, 64 GB)",4 GB,64 GB,71238,4812,4.4,11999,9499
"Redmi 9 Prime (Space Blue, 64 GB)",4 GB,64 GB,71238,4812,4.4,11999,9499
"Redmi 9 Prime (Sunrise Flare, 64 GB)",4 GB,64 GB,71238,4812,4.4,11999,9499
"Infinix Hot 10 (Ocean Wave, 64 GB)",4 GB,64 GB,48002,3925,4.4,11999,9499
"Infinix Hot 10 (Amber Red, 64 GB)",4 GB,64 GB,48002,3925,4.4,11999,9499
"Infinix Hot 10 (Obsidian Black, 64 GB)",4 GB,64 GB,48002,3925,4.4,11999,9499
"Infinix Hot 10 (Moonlight Jade, 64 GB)",4 GB,64 GB,48002,3925,4.4,11999,9499
"APPLE iPhone 11 (White, 64 GB)",,64 GB,36305,2815,4.6,54900,46999
"POCO M3 (Power Black, 64 GB)",6 GB,64 GB,57727,4707,4.3,12999,10999
"POCO M2 Pro (Out of the Blue, 64 GB)",4 GB,64 GB,174977,17866,4.4,16999,12999
"realme Narzo 20A (Victory Blue, 64 GB)",4 GB,64 GB,168591,10519,4.4,11999,9499
"realme Narzo 20A (Glory Silver, 64 GB)",4 GB,64 GB,168591,10519,4.4,11999,9499
"realme Narzo 20A (Glory Silver, 32 GB)",3 GB,32 GB,68209,5300,4.3,10999,8499
"realme C11 (Rich Grey, 32 GB)",2 GB,32 GB,408675,27255,4.4,8999,7499
"realme C11 (Rich Green, 32 GB)",2 GB,32 GB,408675,27255,4.4,8999,7499
"realme 7 (Mist Blue, 128 GB)",8 GB,128 GB,65910,6614,4.3,20999,16999
"realme 7 (Mist Blue, 64 GB)",6 GB,64 GB,218078,21657,4.3,17999,14999
"GIONEE Max (Royal Blue, 32 GB)",2 GB,32 GB,46077,4530,4.1,7990,5499
"GIONEE Max (Red, 32 GB)",2 GB,32 GB,46077,4530,4.1,7990,5499
"Redmi 9 Power (Mighty Black, 64 GB)",4 GB,64 GB,3767,298,4.3,13999,10999
"POCO X3 (Shadow Gray, 128 GB)",6 GB,128 GB,135918,13678,4.4,20999,17999
"POCO C3 (Matte Black, 32 GB)",3 GB,32 GB,187773,13231,4.3,9999,7499
"POCO M2 Pro (Green and Greener, 64 GB)",6 GB,64 GB,244292,24651,4.4,17999,13999
"MOTOROLA G30 (Dark Pearl, 64 GB)",4 GB,64 GB,993,139,4.2,14999,10999
"Infinix Smart 5 (Morandi Green, 32 GB)",2 GB,32 GB,7767,629,4.4,8999,7199
"Infinix Smart 5 (Obsidian Black, 32 GB)",2 GB,32 GB,7767,629,4.4,8999,7199
"Infinix Smart 5 (Aegean Blue, 32 GB)",2 GB,32 GB,7767,629,4.4,8999,7199
"APPLE iPhone 11 (Black, 64 GB)",,64 GB,36457,2831,4.6,54900,46999
"realme Narzo 20 (Glory Silver, 128 GB)",4 GB,128 GB,361701,28306,4.3,13999,11499
"realme Narzo 20 (Glory Silver, 64 GB)",4 GB,64 GB,361701,28306,4.3,12999,10499
"realme Narzo 20 (Victory Blue, 128 GB)",4 GB,128 GB,361701,28306,4.3,13999,11499
"Redmi 9 Prime (Matte Black, 64 GB)",4 GB,64 GB,71603,4834,4.4,11999,9499
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",3 GB,32 GB,141830,12271,4.4,9999,7999
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)",3 GB,32 GB,141830,12271,4.4,9999,7999
"GIONEE Max (Black, 32 GB)",2 GB,32 GB,46307,4552,4.1,7990,5499
"realme 7i (Fusion Green, 64 GB)",4 GB,64 GB,244595,18016,4.3,13999,11999
"POCO M2 Pro (Out of the Blue, 64 GB)",6 GB,64 GB,244292,24651,4.4,17999,13999
"Infinix Smart HD 2021 (Obsidian Black, 32 GB)",2 GB,32 GB,29352,1899,4.4,7999,6499
"Infinix Smart HD 2021 (Topaz Blue, 32 GB)",2 GB,32 GB,29352,1899,4.4,7999,6499
"Infinix Smart HD 2021 (Quartz Green, 32 GB)",2 GB,32 GB,29352,1899,4.4,7999,6499
"POCO C3 (Lime Green, 64 GB)",4 GB,64 GB,131468,8150,4.3,10999,8499
"Redmi 9 Power (Electric Green, 64 GB)",4 GB,64 GB,3872,307,4.3,13999,10999
"Infinix Smart 4 Plus (Midnight Black, 32 GB)",3 GB,32 GB,141830,12271,4.4,9999,7999
"Infinix Smart 4 Plus (Violet, 32 GB)",3 GB,32 GB,141830,12271,4.4,9999,7999
"Tecno Spark Power 2 Air (Ice Jadeite, 32 GB)",3 GB,32 GB,15593,1356,4.3,9999,8499
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)",3 GB,32 GB,15593,1356,4.3,9999,8499
"APPLE iPhone 11 (Purple, 64 GB)",,64 GB,36457,2831,4.6,54900,46999
"realme Narzo 20 Pro (Black Ninja, 64 GB)",6 GB,64 GB,79015,6272,4.3,16999,14999
"Infinix Smart 5 (7° Purple, 32 GB)",2 GB,32 GB,7767,629,4.4,8999,7199
"realme 7i (Fusion Blue, 64 GB)",4 GB,64 GB,244595,18016,4.3,13999,11999
"realme 7i (Fusion Blue, 128 GB)",4 GB,128 GB,244595,18016,4.3,14999,12999
"realme 7i (Fusion Green, 128 GB)",4 GB,128 GB,244595,18016,4.3,14999,12999
"POCO X3 (Cobalt Blue, 64 GB)",6 GB,64 GB,136298,13720,4.4,19999,16999
"POCO X3 (Cobalt Blue, 128 GB)",8 GB,128 GB,22209,2176,4.3,22999,19999
"POCO M2 Pro (Two Shades of Black, 64 GB)",4 GB,64 GB,175237,17893,4.4,16999,12999
"realme Narzo 30 Pro 5G (Sword Black, 64 GB)",6 GB,64 GB,4725,376,4.5,18999,16999
"realme Narzo 30 Pro 5G (Blade Silver, 64 GB)",6 GB,64 GB,4725,376,4.5,18999,16999
"MOTOROLA G30 (Pastel Sky, 64 GB)",4 GB,64 GB,993,139,4.2,14999,10999
"realme 7 (Mist White, 128 GB)",8 GB,128 GB,66083,6629,4.3,20999,16999
"MOTOROLA G10 Power (Breeze Blue, 64 GB)",4 GB,64 GB,888,112,4.3,12999,9999
"MOTOROLA G10 Power (Aurora Grey, 64 GB)",4 GB,64 GB,888,112,4.3,12999,9999
"realme Narzo 20 Pro (White Knight, 64 GB)",6 GB,64 GB,79015,6272,4.3,16999,14999
"POCO M2 (Slate Blue, 64 GB)",6 GB,64 GB,337780,25670,4.3,12999,9999
"POCO M2 Pro (Two Shades of Black, 64 GB)",6 GB,64 GB,244292,24651,4.4,17999,13999
"Infinix Hot 10 (Amber Red, 128 GB)",6 GB,128 GB,60103,6233,4.4,13999,10999
"realme X7 5G (Space Silver, 128 GB)",8 GB,128 GB,2403,197,4.4,23999,21999
"realme X7 5G (Space Silver, 128 GB)",6 GB,128 GB,13219,1342,4.4,21999,19999
"realme Narzo 30 Pro 5G (Sword Black, 128 GB)",8 GB,128 GB,1784,191,4.3,21999,19999
"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",8 GB,128 GB,1784,191,4.3,21999,19999
"OPPO F19 Pro (Fluid Black, 128 GB)",8 GB,128 GB,202,10,4.4,23990,21490
"OPPO F19 Pro (Crystal Silver, 128 GB)",8 GB,128 GB,202,10,4.4,23990,21490
"POCO M2 (Brick Red, 64 GB)",6 GB,64 GB,337780,25670,4.3,12999,9999
"OPPO A12 (Black, 32 GB)",3 GB,32 GB,26710,1978,4.3,10990,8990
"OPPO A12 (Deep Blue, 32 GB)",3 GB,32 GB,26710,1978,4.3,10990,8990
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",,64 GB,77597,6641,4.6,47900,38999
Nokia TA-1010/105,4 MB,4 MB,38243,3228,4.3,1159,1150
"Infinix Hot 10 (Obsidian Black, 128 GB)",6 GB,128 GB,60103,6233,4.4,13999,10999
"Infinix Hot 10 (Moonlight Jade, 128 GB)",6 GB,128 GB,60103,6233,4.4,13999,10999
"realme 6 (Comet White, 64 GB)",6 GB,64 GB,173283,16307,4.4,17999,14999
"OPPO A12 (Blue, 64 GB)",4 GB,64 GB,11972,605,4.4,11990,11490
"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)",6 GB,128 GB,240883,28860,4.3,20999,16499
"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)",6 GB,128 GB,240883,28860,4.3,20999,16499
"OPPO A12 (Flowing Silver, 32 GB)",3 GB,32 GB,26710,1978,4.3,10990,8990
"MOTOROLA E7 Power (Tahiti Blue, 64 GB)",4 GB,64 GB,8096,828,4.1,11999,8299
"POCO M2 (Brick Red, 128 GB)",6 GB,128 GB,337780,25670,4.3,14999,10999
Nokia 105 SS 2020,4 MB,4 MB,50627,4034,4.3,1153,1145
"realme Narzo 20A (Victory Blue, 32 GB)",3 GB,32 GB,68321,5311,4.3,10999,8499
"realme 7 (Mist White, 64 GB)",6 GB,64 GB,218312,21683,4.3,17999,14999
