Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
"realme Narzo 20 (Victory Blue, 64 GB)",4 GB,64 GB,361701,28306,4.3,12999,10499
"Redmi 9i (Sea Blue, 64 GB)",4 GB,64 GB,224444,12758,4.3,9999,7999
"POCO M2 (Pitch Black, 64 GB)",6 GB,64 GB,337780,25670,4.3,12999,9999
"realme Narzo 20 Pro (White Knight, 128 GB)",8 GB,128 GB,42550,3535,4.3,18999,16999
"Infinix Hot 10 (Ocean Wave, 128 GB)",6 GB,128 GB,60103,6233,4.4,13999,10999
"realme X7 5G (Nebula, 128 GB)",6 GB,128 GB,13219,1342,4.4,21999,19999
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)",6 GB,64 GB,23474,1899,4.4,18999,14999
"Infinix Zero 8i (Silver Diamond, 128 GB)",8 GB,128 GB,3885,540,4.2,18999,15999
"Infinix Zero 8i (Black Diamond, 128 GB)",8 GB,128 GB,3885,540,4.2,18999,15999
"IQOO 3 (Tornado Black, 256 GB)",8 GB,256 GB,13175,2165,4.5,40990,32990
"OPPO A12 (Blue, 32 GB)",3 GB,32 GB,26710,1978,4.3,10990,8990
"realme Narzo 20 Pro (Black Ninja, 128 GB)",8 GB,128 GB,42550,3535,4.3,18999,16999
"SAMSUNG Galaxy F41 (Fusion Green, 128 GB)",6 GB,128 GB,240883,28860,4.3,20999,16499
"realme 7 Pro (Mirror Blue, 128 GB)",6 GB,128 GB,71484,7395,4.4,20999,19999
"ViVO Y12s (Phantom Black, 32 GB)",3 GB,32 GB,2745,164,4.3,13990,9990
"ViVO Y20G (Obsidian Black, 128 GB)",6 GB,128 GB,206,15,4.4,18990,14990
"POCO X3 (Shadow Gray, 128 GB)",8 GB,128 GB,22209,2176,4.3,22999,19999
"APPLE iPhone 11 (Green, 64 GB)",,64 GB,36457,2831,4.6,54900,46999
Nokia 105 SS 2020,4 MB,4 MB,50627,4034,4.3,1154,1145
SAMSUNG Guru 1200,,,151745,13705,4.3,1410,1150
LAVA Flip,32 MB,32 MB,2046,253,4.2,1999,1683
"realme C3 (Frozen Blue, 32 GB)",3 GB,32 GB,134812,10263,4.4,13999,8999
"Redmi 9 Power (Fiery Red, 64 GB)",4 GB,64 GB,3873,307,4.3,16990,10999
"Google Pixel 4a (Just Black, 128 GB)",6 GB,128 GB,14893,2907,4.6,59900,31999
"ViVO Y20G (Obsidian Black, 64 GB)",4 GB,64 GB,166,15,4.1,13990,12990
"APPLE iPhone 11 (Black, 128 GB)",,128 GB,36457,2831,4.6,1950,53999
"ViVO Y12s (Glacier Blue, 32 GB)",3 GB,32 GB,2745,164,4.3,1999,9990
SAMSUNG Guru Music 2,,,166530,16289,4.3,,1710
LAVA Flip,32 MB,32 MB,2046,253,4.2,,1683
LAVA A1 Josh,4 MB,1 KB,18435,1943,4.2,1099,897
LAVA A1 Josh,4 MB,1 KB,18435,1943,4.2,1099,897
Nokia 110 DS 2020,4 MB,4 MB,8374,667,4,1593,1570
LAVA A3,4 MB,3 MB,17984,2185,4.2,1299,1073
LAVA A3,4 MB,3 MB,17984,2185,4.2,1299,1073
"ViVO Y50 (Iris Blue, 128 GB)",8 GB,128 GB,16180,1199,4.4,19990,16490
"realme 7 Pro (Mirror Blue, 128 GB)",8 GB,128 GB,29091,2835,4.4,22999,21999
"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)",6 GB,64 GB,23474,1899,4.4,18999,14999
"IQOO 3 (5G) (Tornado Black, 256 GB)",12 GB,256 GB,2270,379,4.4,46990,39990
Grabo G106,64 MB,64 MB,2536,301,3.6,759,689
"MOTOROLA G9 Power (Electric Violet, 64 GB)",4 GB,64 GB,19949,2079,4.1,15999,11999
"MOTOROLA E7 Power (Coral Red, 64 GB)",4 GB,64 GB,8096,828,4.1,11999,8299
"SAMSUNG Galaxy F41 (Fusion Green, 64 GB)",6 GB,64 GB,240883,28860,4.3,19999,15999
Micromax X378,32 MB,32 MB,5399,454,4,849,822
"ViVO Y20i (Nebula Blue, 64 GB)",3 GB,64 GB,7235,508,4.3,15490,11490
Nokia 105 SS 2020,4 MB,4 MB,50627,4034,4.3,12999,1135
"MOTOROLA E7 Plus (Misty Blue, 64 GB)",4 GB,64 GB,38308,3503,4.2,1489,9999
SAMSUNG Guru 1200,,,151745,13705,4.3,18999,1323
"POCO X2 (Matrix Purple, 64 GB)",6 GB,64 GB,255284,27873,4.5,19999,14999
"POCO M2 Pro (Green and Greener, 128 GB)",6 GB,128 GB,244292,24651,4.4,1350,15999
Nokia TA-1174 / TA-1299,4 MB,4 MB,44916,4585,4.2,9999,1339
"POCO C3 (Lime Green, 32 GB)",3 GB,32 GB,187774,13231,4.3,19990,7499
"ViVO Y50 (Pearl White, 128 GB)",8 GB,128 GB,16180,1199,4.4,21990,16490
"ViVO Y51A (Crystal Symphony, 128 GB)",8 GB,128 GB,1384,91,4.4,,17990
"SAMSUNG Galaxy F41 (Fusion Black, 64 GB)",6 GB,64 GB,240883,28860,4.3,19999,15999
"Tecno Spark 6 Go (Aqua Blue, 64 GB)",4 GB,64 GB,2899,138,4.3,9999,8699
"Tecno Spark 6 Go (Mystery White, 64 GB)",4 GB,64 GB,2899,138,4.3,9999,8699
"APPLE iPhone 11 (Red, 64 GB)",,64 GB,36457,2831,4.6,54900,46999
"IQOO 3 (Quantum Silver, 256 GB)",8 GB,256 GB,13175,2165,4.5,40990,32990
"ViVO Y20i (Dawn White, 64 GB)",3 GB,64 GB,7235,508,4.3,15490,11490
"Redmi 9 (Sky Blue, 64 GB)",4 GB,64 GB,9937,609,4.2,9299,9142
"realme 7 Pro (Mirror Silver, 128 GB)",8 GB,128 GB,29091,2835,4.4,22999,21999
"realme 7 Pro (Mirror Silver, 128 GB)",6 GB,128 GB,71484,7395,4.4,20999,19999
SAMSUNG Guru Music 2,,,166530,16289,4.3,1950,1710
"POCO M2 (Pitch Black, 128 GB)",6 GB,128 GB,337781,25670,4.3,14999,10999
"OPPO A12 (Deep Blue, 64 GB)",4 GB,64 GB,11971,605,4.4,1662,11990
"OPPO A12 (Black, 64 GB)",4 GB,64 GB,11971,605,4.4,822,11490
SAMSUNG Guru FM Plus SM-B110E/D,,,54274,5604,4.3,18990,1449
Micromax X378,32 MB,32 MB,5399,454,4,15999,814
"ViVO Y30 (Emerald Black, 128 GB)",6 GB,128 GB,1191,83,4.3,14400,14990
"Redmi 9 Power (Blazing Blue, 128 GB)",4 GB,128 GB,3872,307,4.3,1889,11999
"Redmi Note 9 Pro (Interstellar Black, 128 GB)",4 GB,128 GB,18211,1299,4.4,1599,14351
SAMSUNG Guru Music 2,,,166530,16289,4.3,19999,1888
LAVA GEM,512 MB,512 MB,15164,1761,4.2,14999,1577
"POCO M2 Pro (Two Shades of Black, 128 GB)",6 GB,128 GB,244292,24651,4.4,2499,15999
"POCO M3 (Yellow, 128 GB)",6 GB,128 GB,58291,4767,4.3,14999,11999
Micromax X741,32 MB,32 MB,37727,3873,4,,1289
"Infinix Note 7 (Aether Black, 64 GB)",4 GB,64 GB,20630,2186,4.3,,10999
"Infinix Note 7 (Forest Green, 64 GB)",4 GB,64 GB,20630,2186,4.3,14999,10999
"Itel Vision1 (Gradation Green, 32 GB)",3 GB,32 GB,18455,1613,4.1,8299,6549
GFive A2,32 MB,32 MB,914,77,3.8,16200,659
"Redmi Note 9 (Arctic White, 128 GB)",4 GB,128 GB,17436,1305,4.3,12390,13318
"Redmi Note 9 (Aqua Green, 64 GB)",4 GB,64 GB,17436,1305,4.3,23368,11349
"Mi 10i (Atlantic Blue, 128 GB)",6 GB,128 GB,649,52,4.4,9999,22651
"MOTOROLA E7 Power (Tahiti Blue, 32 GB)",2 GB,32 GB,109,10,4.2,24999,7499
"SAMSUNG Galaxy A32 (Awesome Black, 128 GB)",6 GB,128 GB,32,3,4.6,20990,21999
"OPPO F19PRO+ (Space Silver, 128 GB)",8 GB,128 GB,31000,2519,4.4,1662,25890
"ViVO S1 Pro (Mystic Black, 128 GB)",8 GB,128 GB,54274,5604,4.3,21990,18990
SAMSUNG Guru FM Plus SM-B110E/D,,,1384,91,4.4,10999,1449
"ViVO Y51A (Titanium Sapphire, 128 GB)",8 GB,128 GB,224444,12758,4.3,8499,17990
"Redmi 9i (Midnight Black, 128 GB)",4 GB,128 GB,6344,352,4.3,12999,9299
"Redmi 9A (SeaBlue, 32 GB)",2 GB,32 GB,6344,352,4.3,925,7419
"Redmi 9A (Midnight Black, 32 GB)",2 GB,32 GB,80653,7133,4.4,20490,7300
"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4 GB,64 GB,18672,1616,4.1,18990,10499
Kechaoda K115,32 MB,32 MB,1327,111,4.4,1478,889
"ViVO Y31 (Ocean Blue, 128 GB)",6 GB,128 GB,9162,587,4.3,2324,16490
"ViVO Y30 (Emerald Black, 128 GB)",4 GB,128 GB,984,111,4.1,16999,13990
Micromax X817,32 MB,32 MB,7573,589,4.1,10989,1464
Nokia 150 DS 2020,4 MB,4 MB,187,13,4.3,8299,2260
"Redmi 9 Power (Mighty Black, 128 GB)",6 GB,128 GB,155,12,4.1,,12999
"SAMSUNG M02s (Blue, 64 GB)",4 GB,64 GB,18455,1613,4.1,,10339
"Itel Vision1 (Gradation Blue, 32 GB)",3 GB,32 GB,,,4.3,,6549
"POCO M2 Pro (Green and Greener, 64 GB)",4 GB,64 GB,175236,17893,4.4,16999,12999
"Redmi Note 9 (Pebble Grey, 128 GB)",4 GB,128 GB,17436,1305,4.3,16499,13139
"Redmi Note 9 (Scarlet Red, 128 GB)",6 GB,128 GB,2710,183,4.3,18999,16499
KARBONN KX3,32 MB,32 MB,4580,372,3.9,799,797
"SAMSUNG Galaxy A21s (Blue, 64 GB)",4 GB,64 GB,16090,1549,4.2,17999,13999
"Redmi 9A (Nature Green, 32 GB)",2 GB,32 GB,6344,352,4.3,59900,7451
"Itel VISION1 (GRADATION GREEN, 32 GB)",2 GB,32 GB,158,15,4.2,12499,6598
Kechaoda K115,32 MB,32 MB,18672,1616,4.1,22999,923
"Redmi Note 10 (Aqua Green, 128 GB)",6 GB,128 GB,36457,2831,4.6,14999,16796
"APPLE iPhone 11 (White, 128 GB)",,128 GB,9760,961,4.2,20990,53999
"Tecno Camon 15 (Dark Jade, 64 GB)",4 GB,64 GB,29091,2835,4.4,7999,9999
"realme 7 Pro (Sun Kissed Leather, 128 GB)",8 GB,128 GB,984,111,4.1,7999,21999
Micromax X817,32 MB,32 MB,185488,13248,4.4,7999,1484
"realme C3 (Frozen Blue, 64 GB)",4 GB,64 GB,185488,13248,4.4,15990,9999
"realme C3 (Blazing Red, 64 GB)",4 GB,64 GB,11972,605,4.4,,9999
"OPPO A12 (Flowing Silver, 64 GB)",4 GB,64 GB,20630,2186,4.3,,11990
"Infinix Note 7 (Bolivia Blue, 64 GB)",4 GB,64 GB,914,77,3.8,,10999
GFive A2,32 MB,32 MB,31000,2519,4.4,,659
"ViVO S1 Pro (Jazzy Blue, 128 GB)",8 GB,128 GB,39240,3772,4.3,,18990
"Tecno Spark Go 2020 (Ice jadeite, 32 GB)",2 GB,32 GB,39240,3772,4.3,,6999
"Tecno Spark Go 2020 (Mystery White, 32 GB)",2 GB,32 GB,39240,3772,4.3,,6999
"Tecno Spark Go 2020 (Aqua Blue, 32 GB)",2 GB,32 GB,19122,1191,4.4,,6999
"OPPO A53 (Fancy Blue, 64 GB)",4 GB,64 GB,342,33,3.8,,12990
Salora Atom,32 MB,32 MB,,,3.9,,599
Salora Atom,32 MB,32 MB,342,33,3.8,10999,599
Kechaoda K115,32 MB,32 MB,18672,1616,4.1,12990,923
"Redmi Note 10 (Aqua Green, 128 GB)",6 GB,128 GB,9937,609,4.2,779,16499
"Redmi Note 10 (Shadow Black, 128 GB)",6 GB,128 GB,1835,129,4.2,779,15925
"Redmi 9 (Carbon Black, 64 GB)",4 GB,64 GB,240,17,4.3,780,9117
"OPPO A33 (Mint Cream, 32 GB)",3 GB,32 GB,240,17,4.3,7929,10990
Itel Ace,4 MB,4 MB,240,17,4.3,15795,763
Itel Ace,4 MB,4 MB,16943,1273,4.2,12999,766
Itel Ace,4 MB,4 MB,7974,638,4.3,12999,775
"SAMSUNG Galaxy M01 (Black, 32 GB)",3 GB,32 GB,80653,7133,4.4,1999,7816
"SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)",6 GB,64 GB,80653,7133,4.4,1255,15460
"Infinix Hot 9 Pro (Violet, 64 GB)",4 GB,64 GB,37727,3873,4,52900,10499
"Infinix Hot 9 Pro (Quetzal Cyan, 64 GB)",4 GB,64 GB,37727,3873,4,1119,10499
Micromax X741,32 MB,32 MB,77597,6641,4.6,1119,1195
Micromax X741,32 MB,32 MB,90286,10050,4.2,1119,1229
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",,128 GB,14480,1414,4.2,1119,43999
LAVA A1,24 MB,24 MB,14480,1414,4.2,1119,931
LAVA A1,4 MB,24 MB,90286,10050,4.2,9990,931
LAVA A1,4 MB,24 MB,14480,1414,4.2,16999,931
LAVA A1,24 MB,24 MB,8176,544,4.3,,931
LAVA A1,4 MB,24 MB,187,13,4.3,,931
"ViVO Y91i (Fusion Black, 32 GB)",3 GB,32 GB,5598,498,3.9,,8490
"Redmi 9 Power (Electric Green, 128 GB)",6 GB,128 GB,,,4,,12999
"SAMSUNG M01 core (Blue, 32 GB)",2 GB,32 GB,,,5,,6199
"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)",8 GB,128 GB,3224,524,4.3,31999,25999
Kechaoda K112,32 MB,64 MB,9262,1113,4,1310,1280
Kechaoda K112,32 MB,64 MB,9262,1113,4,1314,1297
"SAMSUNG Galaxy A21s (Black, 64 GB)",4 GB,64 GB,16057,1546,4.2,17999,13999
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4 GB,128 GB,18180,1294,4.4,11999,14799
"Tecno POVA (Magic Blue, 64 GB)",4 GB,64 GB,3812,425,4.3,12499,10499
"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4 GB,64 GB,9744,959,4.2,17999,9999
"SAMSUNG Galaxy A21s (White, 64 GB)",4 GB,64 GB,16057,1546,4.2,13999,13999
"Redmi 9 Prime (Mint Green, 128 GB)",4 GB,128 GB,71238,4812,4.4,15990,10999
"OPPO A53 (Electric Black, 64 GB)",4 GB,64 GB,19106,1188,4.4,17990,12990
"OPPO A53 (Electric Black, 128 GB)",6 GB,128 GB,3971,282,4.3,9990,15490
"ViVO Y11 (Mineral Blue, 32 GB)",3 GB,32 GB,16262,1126,4.3,9990,9490
"ViVO Y11 (Agate Red, 32 GB)",3 GB,32 GB,16262,1126,4.3,1719,9490
Nokia 110 DS 2020,4 MB,4 MB,8356,666,4,18999,1615
"POCO X2 (Atlantis Blue, 64 GB)",6 GB,64 GB,255202,27867,4.5,12162,14999
Nokia 150 DS 2020,4 MB,4 MB,7555,588,4.1,18999,2289
"Redmi Note 9 (Arctic White, 64 GB)",4 GB,64 GB,17411,1304,4.3,759,11620
"Redmi Note 9 (Scarlet Red, 128 GB)",6 GB,128 GB,2710,183,4.3,10999,16499
Grabo G106,64 MB,64 MB,2525,300,3.6,52900,689
"Redmi 9i (Nature Green, 128 GB)",4 GB,128 GB,223992,12730,4.3,899,9299
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",,128 GB,77544,6632,4.6,8999,43999
Good One 5605,32 MB,32 MB,49,9,3.9,13780,799
"realme 3i (Diamond Blue, 32 GB)",3 GB,32 GB,296008,26266,4.4,,8499
"OPPO A31 (Fantasy White, 128 GB)",6 GB,128 GB,20999,1329,4.3,,13387
"SAMSUNG Galaxy M31 (Space Black, 128 GB)",6 GB,128 GB,7974,638,4.3,16200,18888
"Redmi Note 9 (Arctic White, 128 GB)",4 GB,128 GB,17436,1305,4.3,12390,13318
"Redmi Note 9 (Aqua Green, 64 GB)",4 GB,64 GB,17436,1305,4.3,1412,11349
Nokia 105 DS 2020,4 MB,4 MB,11518,917,4.2,17990,1322
"OPPO A52 (Twilight Black, 128 GB)",4 GB,128 GB,44231,3109,4.4,15999,14990
KARBONN K9,,,5681,519,4.1,12945,1235
"Redmi 9 Power (Electric Green, 128 GB)",4 GB,128 GB,3872,307,4.3,1119,11999
"Redmi 9 Power (Blazing Blue, 128 GB)",4 GB,128 GB,3872,307,4.3,1119,12378
GREENBERRI F1,64 MB,64 MB,119,9,4.1,1119,1399
LAVA A1,24 MB,24 MB,90286,10050,4.2,1119,931
LAVA A1,4 MB,24 MB,14480,1414,4.2,1119,931
LAVA A1,4 MB,24 MB,14480,1414,4.2,12499,931
LAVA A1,24 MB,24 MB,90286,10050,4.2,1380,931
LAVA A1,4 MB,24 MB,14480,1414,4.2,759,931
"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4 GB,64 GB,9760,961,4.2,20490,9999
SAMSUNG Guru 1200,,,151745,13705,4.3,14500,1364
Grabo G312,64 MB,64 MB,2409,195,3.6,2340,689
"ViVO Y31 (Racing Black, 128 GB)",6 GB,128 GB,1327,111,4.4,,16490
"OPPO A52 (Stream White, 128 GB)",4 GB,128 GB,44231,3109,4.4,,13690
SAMSUNG Metro 313 Dual Sim,16 MB,2 MB,12157,1258,4.2,,2315
Itel IT2163,4 MB,4 MB,396,30,4,,810
"Redmi Note 9 Pro (Aurora Blue, 128 GB)",4 GB,128 GB,18211,1299,4.4,,14799
Micromax X817,32 MB,32 MB,984,111,4.1,,1485
"Redmi Note 8 (Moonlight White, 64 GB)",4 GB,64 GB,49504,3632,4.4,,12988
"realme 3i (Diamond Red, 32 GB)",3 GB,32 GB,296035,26267,4.4,8999,8499
Micromax X381,32 MB,32 MB,940,79,4,2499,893
Micromax X746,32 MB,32 MB,11356,1338,4,2999,1399
Nokia 216 DS 2020,16 MB,,42575,4718,4.2,17990,2779
"OPPO A53 (Fairy White, 128 GB)",6 GB,128 GB,3981,282,4.3,2308,15490
SAMSUNG Metro 313 Dual Sim,10 MB,2 MB,11148,1028,4.3,16499,2295
"Redmi Note 9 (Pebble Grey, 128 GB)",4 GB,128 GB,17436,1305,4.3,12431,13139
"Redmi Note 9 (Pebble Grey, 64 GB)",4 GB,64 GB,17436,1305,4.3,37990,11697
"IQOO 3 (Quantum Silver, 128 GB)",8 GB,128 GB,13175,2165,4.5,37990,29990
"IQOO 3 (Tornado Black, 128 GB)",8 GB,128 GB,13175,2165,4.5,16990,29990
"SAMSUNG Galaxy M21 (Midnight Blue, 64 GB)",4 GB,64 GB,5941,455,4.3,1999,14459
"ViVO Y20 (Obsidian Black, 64 GB)",4 GB,64 GB,14024,831,4.4,3999,12990
Snexian Rock,32 MB,32 MB,8525,573,4,1581,1299
Snexian Rock,32 MB,32 MB,8525,573,4,14999,1349
"SAMSUNG M01 core (Black, 16 GB)",1 GB,16 GB,5569,457,4,759,5087
Kechaoda K33,32 MB,32 MB,4311,339,4.1,34999,999
Nokia 5310 DS 2020,8 MB,16 MB,5282,347,4.2,31999,3289
SAMSUNG Guru FM Plus,,,21692,2009,4.2,3999,1573
"realme 6i (Eclipse Black, 64 GB)",4 GB,64 GB,58780,6265,4.4,,12999
Grabo G312,64 MB,64 MB,2409,195,3.6,,689
"realme X3 SuperZoom (Arctic White, 256 GB)",12 GB,256 GB,2004,252,4.3,,32999
"realme X3 SuperZoom (Glacier Blue, 256 GB)",8 GB,256 GB,6892,770,4.4,,29999
Nokia 5310 DS 2020,8 MB,16 MB,5282,347,4.2,,3317
GREENBERRI F1,64 MB,64 MB,119,9,4.1,,1399
GREENBERRI F1,64 MB,64 MB,119,9,4.1,9999,1399
"Tecno Spark 6 Go (Ice Jadeite, 64 GB)",4 GB,64 GB,2899,138,4.3,15490,8699
"ViVO Y20A (Dawn White, 64 GB)",3 GB,64 GB,288,21,4.4,15490,11490
"ViVO Y20A (Nebula Blue, 64 GB)",3 GB,64 GB,288,21,4.4,14999,11490
"SAMSUNG Galaxy A12 (Blue, 128 GB)",4 GB,128 GB,363,31,4.2,13999,13999
"ViVO Y20 (Purist Blue, 64 GB)",4 GB,64 GB,14024,831,4.4,11999,13990
"Tecno POVA (Magic Blue, 128 GB)",6 GB,128 GB,928,102,4.2,16930,12499
"Tecno POVA (Speed Purple, 64 GB)",4 GB,64 GB,3824,428,4.3,27990,10499
Itel IT2163,4 MB,4 MB,396,30,4,1308,799
Itel IT2163,4 MB,4 MB,396,30,4,9990,805
Itel IT2163,4 MB,4 MB,396,30,4,14299,810
"realme 6 Pro (Lightning Blue, 128 GB)",8 GB,128 GB,29804,3507,4.4,13896,19999
"SAMSUNG M31 Prime (Space Black, 128 GB)",6 GB,128 GB,482,42,4.4,11975,16880
"SAMSUNG Galaxy M31 (Ocean Blue, 128 GB)",8 GB,128 GB,662,42,4.3,11979,21490
"ViVO V20 2021 (Sunset Melody, 128 GB)",8 GB,128 GB,1481,157,4.4,7949,24990
Nokia 105 DS 2020,4 MB,4 MB,11518,917,4.2,,1295
"ViVO Y91i (Ocean Blue, 32 GB)",2 GB,32 GB,38294,2745,4.3,,7990
BlackZone ECO X,32 MB,32 MB,3692,261,4,,1470
BlackZone ECO X,32 MB,32 MB,3692,261,4,,1470
"Redmi Note 9 Pro (Interstellar Black, 64 GB)",4 GB,64 GB,18211,1299,4.4,,13190
"Redmi 9 Power (Blazing Blue, 128 GB)",6 GB,128 GB,187,13,4.3,,13439
"OPPO A15s (Dynamic Black, 64 GB)",4 GB,64 GB,107,4,4.4,,10990
"OPPO A15S (Rainbow Silver, 64 GB)",4 GB,64 GB,107,4,4.4,,11490
"Redmi 9A (Nature Green, 32 GB)",3 GB,32 GB,3725,227,4.3,,7818
LAVA 34 Ultra,24 MB,32 MB,60,11,4.2,1599,1458
"SAMSUNG GALAXY M51 (ELECTRIC BLUE, 128 GB)",6 GB,128 GB,771,58,4.3,28990,22899
SAMSUNG Guru FM Plus SM-B110E/D,,,54274,5604,4.3,1662,1449
LAVA A5,32 MB,24 MB,5160,518,4.1,1489,1206
LAVA A5,32 MB,24 MB,5160,518,4.1,1549,1206
LAVA A5,32 MB,24 MB,5160,518,4.1,1489,1206
Kechaoda K115,32 MB,32 MB,18672,1616,4.1,937,908
Kechaoda K115,32 MB,32 MB,18672,1616,4.1,10999,954
Kechaoda K115,32 MB,32 MB,18672,1616,4.1,10999,923
"Panasonic Eluga I7 (Black, 16 GB)",2 GB,16 GB,5824,592,3.7,15999,5005
"realme 3i (Diamond Blue, 64 GB)",4 GB,64 GB,77562,6570,4.4,24999,10499
"realme 3i (Diamond Red, 64 GB)",4 GB,64 GB,77562,6570,4.4,23999,10499
"realme 6i (Lunar White, 64 GB)",6 GB,64 GB,80238,7369,4.4,3514,13999
"Moto G 5G (Frosted Silver, 128 GB)",6 GB,128 GB,10097,1163,4.2,2499,20999
KARBONN KX3,32 MB,32 MB,4580,372,3.9,14999,849
"SAMSUNG Galaxy A31 (Prism Crush Black, 128 GB)",6 GB,128 GB,8219,782,4.3,14999,17999
Nokia 3310 DS 2020,,16 MB,29811,3243,3.8,18990,3510
Micromax X746,32 MB,32 MB,11356,1338,4,20990,1345
"ViVO Y30 (Dazzle Blue, 128 GB)",6 GB,128 GB,1191,83,4.3,,16990
"SAMSUNG Galaxy A12 (Black, 128 GB)",4 GB,128 GB,363,31,4.2,,13999
"Redmi Note 9 (Arctic White, 64 GB)",4 GB,64 GB,17436,1305,4.3,,11599
"realme C3 (Blazing Red, 32 GB)",3 GB,32 GB,134812,10263,4.4,,8999
